datetime,epoch,rank,gpu_memory_allocated,gpu_memory_reserved
2022-07-27 23:13:20.170141,0,3,3466315776,9655287808
2022-07-27 23:13:20.170620,0,5,3466332160,9745465344
2022-07-27 23:13:20.170571,0,4,3469480448,10380902400
2022-07-27 23:13:20.170882,0,2,3466848256,7673479168
2022-07-27 23:13:20.171026,0,1,3467369984,9753853952
2022-07-27 23:13:20.171381,0,0,3467274240,7650410496
2022-07-27 23:13:20.171474,0,7,3470771200,9298771968
2022-07-27 23:13:20.172842,0,6,3470204416,8571060224
2022-07-27 23:13:20.622930,0,4,3467291648,10380902400
2022-07-27 23:13:20.623046,0,3,3466838528,9665773568
2022-07-27 23:13:20.623326,0,5,3469831680,13994295296
2022-07-27 23:13:20.623549,0,2,3467276288,7677673472
2022-07-27 23:13:20.623832,0,1,3466391040,9755951104
2022-07-27 23:13:20.624104,0,6,3470074368,12264144896
2022-07-27 23:13:20.624239,0,7,3469703680,13816037376
2022-07-27 23:13:20.624584,0,0,3469422080,10892607488
2022-07-27 23:13:20.952426,0,4,3482535424,10380902400
2022-07-27 23:13:20.952780,0,3,3466296320,9665773568
2022-07-27 23:13:20.953172,0,5,3466293248,13994295296
2022-07-27 23:13:20.953584,0,2,3466955264,11679039488
2022-07-27 23:13:20.953738,0,1,3466244608,9755951104
2022-07-27 23:13:20.954718,0,0,3470027264,10892607488
2022-07-27 23:13:20.954713,0,6,3472979968,12264144896
2022-07-27 23:13:20.955110,0,7,3467338752,13816037376
2022-07-27 23:13:21.282431,0,5,3467434496,13994295296
2022-07-27 23:13:21.282836,0,4,3468426240,10380902400
2022-07-27 23:13:21.283075,0,3,3466289664,9665773568
2022-07-27 23:13:21.283081,0,2,3466584064,11679039488
2022-07-27 23:13:21.283417,0,1,3469302272,9755951104
2022-07-27 23:13:21.283491,0,6,3472066560,12264144896
2022-07-27 23:13:21.284219,0,7,3475582464,13816037376
2022-07-27 23:13:21.284230,0,0,3469442048,10892607488
2022-07-27 23:13:21.670607,0,4,3469505024,10380902400
2022-07-27 23:13:21.670743,0,3,3471457280,13444841472
2022-07-27 23:13:21.670971,0,2,3466312192,14776532992
2022-07-27 23:13:21.671010,0,5,3467386880,13994295296
2022-07-27 23:13:21.671522,0,1,3464593920,9755951104
2022-07-27 23:13:21.671613,0,6,3468508672,15271460864
2022-07-27 23:13:21.671966,0,7,3467231232,13816037376
2022-07-27 23:13:21.672316,0,0,3467291648,10892607488
2022-07-27 23:13:22.006019,0,4,3468468736,10380902400
2022-07-27 23:13:22.006066,0,2,3468345856,14776532992
2022-07-27 23:13:22.006119,0,3,3470927872,13444841472
2022-07-27 23:13:22.006168,0,5,3466194944,13994295296
2022-07-27 23:13:22.006553,0,6,3467311616,15271460864
2022-07-27 23:13:22.006598,0,1,3469589504,9755951104
2022-07-27 23:13:22.006906,0,7,3466363392,13816037376
2022-07-27 23:13:22.007701,0,0,3471534080,10892607488
2022-07-27 23:13:22.447343,0,3,3472496640,13444841472
2022-07-27 23:13:22.447401,0,4,3476832768,10624172032
2022-07-27 23:13:22.447835,0,2,3475253760,14776532992
2022-07-27 23:13:22.447906,0,5,3468338176,13994295296
2022-07-27 23:13:22.448269,0,6,3470032384,18907922432
2022-07-27 23:13:22.448430,0,1,3471132160,9755951104
2022-07-27 23:13:22.448905,0,7,3469829120,13816037376
2022-07-27 23:13:22.455265,0,0,3466293248,14159970304
2022-07-27 23:13:22.935535,0,4,3467322880,15550382080
2022-07-27 23:13:22.935692,0,3,3479139840,13444841472
2022-07-27 23:13:22.936520,0,5,3466362880,17156800512
2022-07-27 23:13:22.936507,0,2,3470048768,18639486976
2022-07-27 23:13:22.936827,0,6,3467639296,18907922432
2022-07-27 23:13:22.936885,0,0,3467318272,14166261760
2022-07-27 23:13:22.936961,0,7,3466357248,13818134528
2022-07-27 23:13:22.937015,0,1,3469719040,9762242560
2022-07-27 23:13:23.335278,0,4,3471131136,15550382080
2022-07-27 23:13:23.335393,0,3,3470824448,13446938624
2022-07-27 23:13:23.335766,0,5,3469337600,17156800512
2022-07-27 23:13:23.336036,0,2,3467625472,18639486976
2022-07-27 23:13:23.336561,0,1,3466744320,13914603520
2022-07-27 23:13:23.336757,0,0,3473955840,17825792000
2022-07-27 23:13:23.336806,0,7,3467648512,13818134528
2022-07-27 23:13:23.336946,0,6,3467316736,18907922432
2022-07-27 23:13:23.705256,0,4,3466252800,15550382080
2022-07-27 23:13:23.705545,0,3,3467661824,13446938624
2022-07-27 23:13:23.706352,0,5,3467874816,17156800512
2022-07-27 23:13:23.706487,0,7,3475882496,13818134528
2022-07-27 23:13:23.706482,0,6,3467363840,18907922432
2022-07-27 23:13:23.706643,0,1,3472785408,13914603520
2022-07-27 23:13:23.706768,0,0,3467277312,17825792000
2022-07-27 23:13:23.709253,0,2,3474571776,18639486976
2022-07-27 23:13:24.119655,0,3,3478889472,13446938624
2022-07-27 23:13:24.120079,0,5,3468364800,17156800512
2022-07-27 23:13:24.120349,0,1,3469904384,13914603520
2022-07-27 23:13:24.120358,0,7,3471419392,13818134528
2022-07-27 23:13:24.120409,0,0,3465261568,17825792000
2022-07-27 23:13:24.120374,0,6,3474808320,18907922432
2022-07-27 23:13:24.120571,0,2,3467821568,18639486976
2022-07-27 23:13:24.120801,0,4,3470841856,15550382080
2022-07-27 23:13:24.542877,0,4,3471148032,15550382080
2022-07-27 23:13:24.542917,0,3,3473140224,13446938624
2022-07-27 23:13:24.543205,0,5,3467415552,17156800512
2022-07-27 23:13:24.543596,0,1,3467749888,13914603520
2022-07-27 23:13:24.543609,0,6,3468210688,23838326784
2022-07-27 23:13:24.543717,0,2,3467993088,18639486976
2022-07-27 23:13:24.544122,0,0,3467346432,17825792000
2022-07-27 23:13:24.544147,0,7,3466350080,13818134528
2022-07-27 23:13:24.917266,0,3,3467359232,13446938624
2022-07-27 23:13:24.917393,0,4,3466200064,15550382080
2022-07-27 23:13:24.917576,0,5,3466219008,17156800512
2022-07-27 23:13:24.917906,0,7,3468036096,13818134528
2022-07-27 23:13:24.917999,0,6,3467346944,23838326784
2022-07-27 23:13:24.918058,0,1,3464666112,13914603520
2022-07-27 23:13:24.918578,0,0,3469843968,17825792000
2022-07-27 23:13:24.920323,0,2,3466516480,18639486976
2022-07-27 23:13:25.329023,0,3,3467342336,13446938624
2022-07-27 23:13:25.329355,0,5,3469189632,17156800512
2022-07-27 23:13:25.329731,0,7,3478412288,13818134528
2022-07-27 23:13:25.329824,0,6,3473819648,23838326784
2022-07-27 23:13:25.330156,0,1,3466154496,13914603520
2022-07-27 23:13:25.330138,0,4,3467885056,15552479232
2022-07-27 23:13:25.332140,0,2,3471237120,18639486976
2022-07-27 23:13:25.332901,0,0,3499273728,17825792000
2022-07-27 23:13:25.751750,0,4,3468923392,15554576384
2022-07-27 23:13:25.752722,0,5,3468091904,17156800512
2022-07-27 23:13:25.753451,0,1,3467461120,13918797824
2022-07-27 23:13:25.753968,0,7,3472207872,13818134528
2022-07-27 23:13:25.754102,0,6,3468411904,23838326784
2022-07-27 23:13:25.754159,0,0,3467334144,17825792000
2022-07-27 23:13:25.754820,0,2,3467356160,18639486976
2022-07-27 23:13:25.755363,0,3,3470883840,17517510656
2022-07-27 23:13:26.139766,0,4,3466251776,15554576384
2022-07-27 23:13:26.139970,0,3,3468143616,17517510656
2022-07-27 23:13:26.140293,0,5,3466449408,17156800512
2022-07-27 23:13:26.140605,0,2,3466376192,18639486976
2022-07-27 23:13:26.140752,0,1,3464965120,13918797824
2022-07-27 23:13:26.140806,0,7,3470304256,13818134528
2022-07-27 23:13:26.141255,0,0,3467265536,17825792000
2022-07-27 23:13:26.141212,0,6,3465589248,23838326784
2022-07-27 23:13:26.543735,0,3,3469054976,17517510656
2022-07-27 23:13:26.544490,0,2,3467432448,18639486976
2022-07-27 23:13:26.544501,0,5,3469307904,17156800512
