datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-28 06:43:53.217859,0,44927623168,16141094912,12099.4375,37040.5625,3056.4375,46083.5625,3056.4375,46083.5625,3056.4375,46083.5625,3056.4375,46083.5625,3056.4375,46083.5625,3056.4375,46083.5625,3056.4375,46083.5625
2022-07-28 06:43:55.221650,0,52292685824,8771403776,17231.4375,31908.5625,9768.4375,39371.5625,8282.4375,40857.5625,9792.4375,39347.5625,10422.4375,38717.5625,9798.4375,39341.5625,8716.4375,40423.5625,9346.4375,39793.5625
2022-07-28 06:43:57.225345,0,53277184000,7786889216,20731.4375,28408.5625,9768.4375,39371.5625,8282.4375,40857.5625,10752.4375,38387.5625,10422.4375,38717.5625,13804.4375,35335.5625,12140.4375,36999.5625,14014.4375,35125.5625
2022-07-28 06:43:59.228245,0,54142234624,6922821632,20731.4375,28408.5625,9768.4375,39371.5625,12026.4375,37113.5625,10752.4375,38387.5625,10422.4375,38717.5625,13804.4375,35335.5625,12140.4375,36999.5625,14014.4375,35125.5625
2022-07-28 06:44:01.231258,0,53281099776,7783018496,20731.4375,28408.5625,9768.4375,39371.5625,13934.4375,35205.5625,13852.4375,35287.5625,10422.4375,38717.5625,13804.4375,35335.5625,14048.4375,35091.5625,14014.4375,35125.5625
2022-07-28 06:44:03.234448,0,53282066432,7781134336,22639.4375,26500.5625,9768.4375,39371.5625,13934.4375,35205.5625,13852.4375,35287.5625,10422.4375,38717.5625,13804.4375,35335.5625,15004.4375,34135.5625,14014.4375,35125.5625
2022-07-28 06:44:05.237432,0,53286371328,7778897920,22645.4375,26494.5625,14036.4375,35103.5625,14896.4375,34243.5625,13852.4375,35287.5625,14974.4375,34165.5625,15722.4375,33417.5625,15004.4375,34135.5625,14016.4375,35123.5625
2022-07-28 06:44:07.240630,0,53285670912,7776342016,22645.4375,26494.5625,14036.4375,35103.5625,14896.4375,34243.5625,13852.4375,35287.5625,14974.4375,34165.5625,15722.4375,33417.5625,15004.4375,34135.5625,14016.4375,35123.5625
2022-07-28 06:44:09.245580,0,53286961152,7773011968,22645.4375,26494.5625,14036.4375,35103.5625,14896.4375,34243.5625,13852.4375,35287.5625,14974.4375,34165.5625,15722.4375,33417.5625,15958.4375,33181.5625,14016.4375,35123.5625
2022-07-28 06:44:11.248555,0,53289934848,7769972736,22645.4375,26494.5625,14036.4375,35103.5625,14896.4375,34243.5625,13852.4375,35287.5625,14974.4375,34165.5625,15722.4375,33417.5625,15958.4375,33181.5625,14016.4375,35123.5625
2022-07-28 06:44:13.251488,0,53543755776,7514959872,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,14974.4375,34165.5625,15786.4375,33353.5625,15958.4375,33181.5625,14016.4375,35123.5625
2022-07-28 06:44:15.254465,0,53290467328,7767560192,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,14974.4375,34165.5625,15786.4375,33353.5625,15958.4375,33181.5625,14016.4375,35123.5625
2022-07-28 06:44:17.257289,0,53289496576,7766425600,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,14974.4375,34165.5625,15786.4375,33353.5625,15958.4375,33181.5625,14016.4375,35123.5625
2022-07-28 06:44:19.260734,0,53285019648,7770738688,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,14974.4375,34165.5625,15786.4375,33353.5625,15958.4375,33181.5625,14016.4375,35123.5625
2022-07-28 06:44:21.263838,0,53285580800,7770730496,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,14974.4375,34165.5625,15786.4375,33353.5625,15958.4375,33181.5625,14016.4375,35123.5625
2022-07-28 06:44:23.266777,0,53285638144,7770738688,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:25.269731,0,53286797312,7769530368,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:27.272621,0,53587517440,7468634112,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:29.275574,0,53288259584,7767699456,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:31.278684,0,53285777408,7768252416,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:33.281789,0,53289263104,7764508672,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:35.284799,0,53289304064,7762780160,22645.4375,26494.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:37.287608,0,53288366080,7763083264,22649.4375,26490.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:39.290539,0,53289390080,7762677760,22649.4375,26490.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:41.293443,0,54791503872,6259650560,22649.4375,26490.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:43.296862,0,53290926080,7759347712,22649.4375,26490.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:45.300522,0,53293015040,7756976128,22649.4375,26490.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:47.303649,0,53292998656,7756124160,22649.4375,26490.5625,14996.4375,34143.5625,14896.4375,34243.5625,15764.4375,33375.5625,17950.4375,31189.5625,16740.4375,32399.5625,15958.4375,33181.5625,16736.4375,32403.5625
2022-07-28 06:44:49.306698,0,53293420544,7757148160,22649.4375,26490.5625,14996.4375,34143.5625,14898.4375,34241.5625,15764.4375,33375.5625,19858.4375,29281.5625,16740.4375,32399.5625,15958.4375,33181.5625,16752.4375,32387.5625
2022-07-28 06:44:51.309445,0,53293408256,7755870208,22649.4375,26490.5625,14996.4375,34143.5625,14898.4375,34241.5625,15764.4375,33375.5625,19858.4375,29281.5625,16740.4375,32399.5625,15958.4375,33181.5625,16752.4375,32387.5625
2022-07-28 06:44:53.312387,0,53293223936,7756750848,22649.4375,26490.5625,14996.4375,34143.5625,14898.4375,34241.5625,15764.4375,33375.5625,19858.4375,29281.5625,16740.4375,32399.5625,15958.4375,33181.5625,16752.4375,32387.5625
2022-07-28 06:44:55.315360,0,53303386112,7746260992,22649.4375,26490.5625,14996.4375,34143.5625,14898.4375,34241.5625,15764.4375,33375.5625,19858.4375,29281.5625,16740.4375,32399.5625,15958.4375,33181.5625,16752.4375,32387.5625
