datetime,epoch,rank,gpu_memory_allocated,gpu_memory_reserved
2022-07-27 10:32:13.792599,0,3,2879627776,16674455552
2022-07-27 10:32:13.792682,0,4,2877000192,17033068544
2022-07-27 10:32:13.792912,0,5,2884348416,15766388736
2022-07-27 10:32:13.792906,0,6,2872742400,15720251392
2022-07-27 10:32:13.792815,0,2,2888310784,15529410560
2022-07-27 10:32:13.792922,0,1,2889191936,15109980160
2022-07-27 10:32:13.793168,0,0,2886973952,15305015296
2022-07-27 10:32:13.793043,0,7,2888786944,18530435072
2022-07-27 10:32:14.815931,0,5,2884358144,18259902464
2022-07-27 10:32:14.815935,0,2,2888296448,17924358144
2022-07-27 10:32:14.815971,0,1,2889130496,17481859072
2022-07-27 10:32:14.816113,0,3,2879642624,19346227200
2022-07-27 10:32:14.816150,0,7,2888857088,21390950400
2022-07-27 10:32:14.816226,0,0,2887032832,17590910976
2022-07-27 10:32:14.816038,0,6,2872790528,21189623808
2022-07-27 10:32:14.815994,0,4,2876875776,17060331520
2022-07-27 10:32:15.758833,0,3,2879608320,19354615808
2022-07-27 10:32:15.759001,0,5,2884309504,18259902464
2022-07-27 10:32:15.758879,0,4,2876954624,19560136704
2022-07-27 10:32:15.759091,0,1,2889115136,17481859072
2022-07-27 10:32:15.759102,0,6,2872675328,21198012416
2022-07-27 10:32:15.759147,0,7,2888778752,21403533312
2022-07-27 10:32:15.759035,0,2,2888360960,17924358144
2022-07-27 10:32:15.759237,0,0,2887007232,17590910976
2022-07-27 10:32:16.684565,0,4,2876961792,19560136704
2022-07-27 10:32:16.684545,0,3,2879601664,19354615808
2022-07-27 10:32:16.684610,0,2,2888349696,17924358144
2022-07-27 10:32:16.684650,0,5,2884303872,18259902464
2022-07-27 10:32:16.684656,0,6,2872650752,21198012416
2022-07-27 10:32:16.684678,0,1,2889140736,17481859072
2022-07-27 10:32:16.684760,0,0,2886917632,17590910976
2022-07-27 10:32:16.684815,0,7,2888706560,21403533312
2022-07-27 10:32:17.634328,0,2,2888380928,17924358144
2022-07-27 10:32:17.634341,0,1,2889135616,19860029440
2022-07-27 10:32:17.634346,0,0,2886991360,17593008128
2022-07-27 10:32:17.634383,0,6,2872798720,21202206720
2022-07-27 10:32:17.634371,0,4,2876958720,19560136704
2022-07-27 10:32:17.634406,0,3,2879661056,19354615808
2022-07-27 10:32:17.634449,0,5,2884354560,18259902464
2022-07-27 10:32:17.634376,0,7,2888723456,21403533312
2022-07-27 10:32:18.496534,0,2,2888317440,17924358144
2022-07-27 10:32:18.496628,0,7,2888753664,21403533312
2022-07-27 10:32:18.496610,0,6,2872749568,21202206720
2022-07-27 10:32:18.496634,0,0,2886910464,17593008128
2022-07-27 10:32:18.496626,0,4,2876877312,19560136704
2022-07-27 10:32:18.496659,0,3,2879554048,19354615808
2022-07-27 10:32:18.496645,0,5,2884211200,18259902464
2022-07-27 10:32:18.496649,0,1,2889070592,19860029440
2022-07-27 10:32:19.506378,0,2,2888393216,17924358144
2022-07-27 10:32:19.506388,0,3,2879570432,19358810112
2022-07-27 10:32:19.506383,0,4,2876955136,22391291904
2022-07-27 10:32:19.506502,0,1,2889153024,19860029440
2022-07-27 10:32:19.506545,0,5,2884317696,18259902464
2022-07-27 10:32:19.506604,0,6,2872862208,21202206720
2022-07-27 10:32:19.506691,0,7,2888786944,21403533312
2022-07-27 10:32:19.506722,0,0,2887041536,17593008128
2022-07-27 10:32:20.577808,0,3,2879586304,22135439360
2022-07-27 10:32:20.577832,0,5,2884379136,21214789632
2022-07-27 10:32:20.577798,0,2,2888414720,20554186752
2022-07-27 10:32:20.577853,0,4,2877018112,22391291904
2022-07-27 10:32:20.577871,0,1,2889145856,22464692224
2022-07-27 10:32:20.577937,0,0,2887017984,20197670912
2022-07-27 10:32:20.577926,0,7,2888845824,24503123968
2022-07-27 10:32:20.577936,0,6,2872770048,23974641664
2022-07-27 10:32:21.603718,0,2,2888350720,20554186752
2022-07-27 10:32:21.603837,0,1,2889229312,22466789376
2022-07-27 10:32:21.603778,0,4,2876831232,22391291904
2022-07-27 10:32:21.603864,0,6,2872754688,23974641664
2022-07-27 10:32:21.603785,0,3,2879656448,22135439360
2022-07-27 10:32:21.603861,0,0,2887069184,20197670912
2022-07-27 10:32:21.603885,0,7,2888793600,24503123968
2022-07-27 10:32:21.603947,0,5,2884314624,21214789632
2022-07-27 10:32:22.490367,0,3,2879620096,22135439360
2022-07-27 10:32:22.490483,0,2,2888219136,20554186752
2022-07-27 10:32:22.490506,0,5,2884238336,21214789632
2022-07-27 10:32:22.490611,0,1,2889038848,22466789376
2022-07-27 10:32:22.490599,0,6,2872769024,23974641664
2022-07-27 10:32:22.490685,0,0,2886977024,20197670912
2022-07-27 10:32:22.490699,0,7,2888672256,24503123968
2022-07-27 10:32:22.491318,0,4,2876885504,22391291904
2022-07-27 10:32:23.412089,0,4,2876936192,22391291904
2022-07-27 10:32:23.412133,0,3,2879585792,22135439360
2022-07-27 10:32:23.412235,0,2,2888369664,20554186752
2022-07-27 10:32:23.412332,0,1,2889113088,22466789376
2022-07-27 10:32:23.412372,0,5,2884283904,21214789632
2022-07-27 10:32:23.412415,0,6,2872673280,23974641664
2022-07-27 10:32:23.412418,0,0,2886968320,20197670912
2022-07-27 10:32:23.412450,0,7,2888838656,24503123968
2022-07-27 10:32:24.544564,0,3,2879642624,22135439360
2022-07-27 10:32:24.544609,0,2,2888349696,20556283904
2022-07-27 10:32:24.544599,0,4,2876931072,22391291904
2022-07-27 10:32:24.544599,0,1,2889195008,22466789376
2022-07-27 10:32:24.544644,0,7,2888838656,27799846912
2022-07-27 10:32:24.544683,0,5,2884383232,21214789632
2022-07-27 10:32:24.544673,0,6,2872923648,27334279168
2022-07-27 10:32:24.544770,0,0,2887046144,20199768064
2022-07-27 10:32:25.474502,0,7,2888780800,27799846912
2022-07-27 10:32:25.474550,0,0,2887000064,20199768064
2022-07-27 10:32:25.474554,0,6,2872784896,27334279168
2022-07-27 10:32:25.474631,0,4,2876832768,22391291904
2022-07-27 10:32:25.474605,0,2,2888364032,20556283904
2022-07-27 10:32:25.474629,0,1,2889048576,22466789376
2022-07-27 10:32:25.474701,0,3,2879622656,22135439360
2022-07-27 10:32:25.474708,0,5,2884235264,21214789632
2022-07-27 10:32:26.447924,0,4,2876995584,22391291904
2022-07-27 10:32:26.447963,0,3,2879605760,22135439360
2022-07-27 10:32:26.448122,0,5,2884334592,21214789632
2022-07-27 10:32:26.448058,0,2,2888259584,20556283904
2022-07-27 10:32:26.448236,0,6,2872819712,27334279168
2022-07-27 10:32:26.448241,0,1,2889025024,22466789376
2022-07-27 10:32:26.448338,0,0,2886891520,20199768064
2022-07-27 10:32:26.448311,0,7,2888807936,27799846912
2022-07-27 10:32:27.497599,0,3,2879686144,24930942976
2022-07-27 10:32:27.497667,0,2,2888376320,20556283904
2022-07-27 10:32:27.497640,0,4,2877006336,25453133824
2022-07-27 10:32:27.497820,0,1,2889250304,25098715136
2022-07-27 10:32:27.497797,0,5,2884381696,21214789632
2022-07-27 10:32:27.497854,0,6,2872801280,27334279168
2022-07-27 10:32:27.497944,0,7,2888753152,27799846912
2022-07-27 10:32:27.498046,0,0,2887033856,20199768064
2022-07-27 10:32:28.367925,0,1,2889138176,25098715136
2022-07-27 10:32:28.367944,0,6,2872684032,27334279168
2022-07-27 10:32:28.367907,0,2,2888330240,20556283904
2022-07-27 10:32:28.367975,0,7,2888680448,27799846912
2022-07-27 10:32:28.367977,0,3,2879464960,24930942976
2022-07-27 10:32:28.368079,0,0,2886965248,20199768064
2022-07-27 10:32:28.368024,0,4,2876884480,25453133824
2022-07-27 10:32:28.368091,0,5,2884218368,21214789632
2022-07-27 10:32:29.297873,0,3,2879581696,24930942976
2022-07-27 10:32:29.297854,0,4,2876928000,25453133824
2022-07-27 10:32:29.298009,0,2,2888370688,20556283904
2022-07-27 10:32:29.298046,0,5,2884329984,21214789632
2022-07-27 10:32:29.298192,0,6,2872755200,27334279168
2022-07-27 10:32:29.298176,0,1,2889134592,25098715136
2022-07-27 10:32:29.298196,0,7,2888787968,27799846912
2022-07-27 10:32:29.298231,0,0,2887002624,20199768064
2022-07-27 10:32:30.188691,0,4,2876920832,25453133824
2022-07-27 10:32:30.188960,0,1,2889027584,25098715136
2022-07-27 10:32:30.188857,0,2,2888292352,20556283904
2022-07-27 10:32:30.189111,0,7,2888774144,27799846912
2022-07-27 10:32:30.189013,0,6,2872734208,27334279168
2022-07-27 10:32:30.189141,0,0,2887021568,20199768064
2022-07-27 10:32:30.190866,0,3,2879458816,24930942976
2022-07-27 10:32:30.191103,0,5,2884212736,21214789632
2022-07-27 10:32:31.222257,0,3,2879628288,24930942976
2022-07-27 10:32:31.222344,0,2,2888348672,23335010304
2022-07-27 10:32:31.222380,0,5,2884310016,21214789632
2022-07-27 10:32:31.222319,0,4,2877029376,25453133824
2022-07-27 10:32:31.222486,0,1,2889180160,27860664320
2022-07-27 10:32:31.222591,0,7,2888846848,27799846912
2022-07-27 10:32:31.222640,0,0,2887037952,20199768064
2022-07-27 10:32:31.222774,0,6,2872796672,27334279168
2022-07-27 10:32:32.231164,0,3,2879510528,24930942976
2022-07-27 10:32:32.231184,0,4,2876866048,25453133824
2022-07-27 10:32:32.231268,0,2,2888200704,23335010304
2022-07-27 10:32:32.231395,0,6,2872829952,27334279168
2022-07-27 10:32:32.231331,0,5,2884252672,21214789632
2022-07-27 10:32:32.231375,0,1,2889144320,27860664320
2022-07-27 10:32:32.231408,0,7,2888759808,27799846912
2022-07-27 10:32:32.231532,0,0,2887025152,20199768064
2022-07-27 10:32:33.103034,0,1,2889064448,27860664320
2022-07-27 10:32:33.103021,0,7,2888798720,27799846912
2022-07-27 10:32:33.102911,0,3,2879570944,24930942976
2022-07-27 10:32:33.103071,0,5,2884275712,21214789632
2022-07-27 10:32:33.103066,0,6,2872725504,27334279168
2022-07-27 10:32:33.102981,0,2,2888294400,23335010304
