datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-27 13:20:45.519149,0,45103652864,17284452352,12455.4375,36684.5625,3414.4375,45725.5625,3414.4375,45725.5625,3414.4375,45725.5625,3414.4375,45725.5625,3414.4375,45725.5625,3414.4375,45725.5625,3414.4375,45725.5625
2022-07-27 13:20:47.522898,0,50890305536,11492364288,19351.4375,29788.5625,10214.4375,38925.5625,10412.4375,38727.5625,12214.4375,36925.5625,11098.4375,38041.5625,11696.4375,37443.5625,11796.4375,37343.5625,11796.4375,37343.5625
2022-07-27 13:20:49.525508,0,50910994432,11472367616,19351.4375,29788.5625,11348.4375,37791.5625,10412.4375,38727.5625,12214.4375,36925.5625,11098.4375,38041.5625,11698.4375,37441.5625,11798.4375,37341.5625,11796.4375,37343.5625
2022-07-27 13:20:51.528669,0,50924335104,11458875392,20595.4375,28544.5625,12590.4375,36549.5625,11668.4375,37471.5625,13538.4375,35601.5625,12448.4375,36691.5625,13108.4375,36031.5625,13120.4375,36019.5625,13276.4375,35863.5625
2022-07-27 13:20:53.531696,0,50929086464,11446018048,20595.4375,28544.5625,12592.4375,36547.5625,11668.4375,37471.5625,13538.4375,35601.5625,12448.4375,36691.5625,13108.4375,36031.5625,14724.4375,34415.5625,14848.4375,34291.5625
2022-07-27 13:20:55.534758,0,50937356288,11439546368,20595.4375,28544.5625,13848.4375,35291.5625,11668.4375,37471.5625,14872.4375,34267.5625,13908.4375,35231.5625,13108.4375,36031.5625,14724.4375,34415.5625,14848.4375,34291.5625
2022-07-27 13:20:57.537735,0,50942898176,11431526400,20595.4375,28544.5625,15166.4375,33973.5625,12994.4375,36145.5625,14872.4375,34267.5625,13908.4375,35231.5625,13108.4375,36031.5625,14724.4375,34415.5625,14848.4375,34291.5625
2022-07-27 13:20:59.540805,0,50947080192,11427672064,21845.4375,27294.5625,15166.4375,33973.5625,14332.4375,34807.5625,16230.4375,32909.5625,15452.4375,33687.5625,14562.4375,34577.5625,14724.4375,34415.5625,14848.4375,34291.5625
2022-07-27 13:21:01.543831,0,50950533120,11424133120,21845.4375,27294.5625,15166.4375,33973.5625,14332.4375,34807.5625,16230.4375,32909.5625,15452.4375,33687.5625,14562.4375,34577.5625,14724.4375,34415.5625,14848.4375,34291.5625
2022-07-27 13:21:03.547086,0,50955493376,11417128960,21845.4375,27294.5625,15166.4375,33973.5625,14332.4375,34807.5625,16230.4375,32909.5625,15452.4375,33687.5625,14562.4375,34577.5625,14724.4375,34415.5625,14848.4375,34291.5625
