datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-27 16:41:19.633890,0,48261963776,13302337536,11895.4375,37244.5625,2854.4375,46285.5625,2854.4375,46285.5625,2854.4375,46285.5625,2854.4375,46285.5625,2854.4375,46285.5625,2854.4375,46285.5625,2854.4375,46285.5625
2022-07-27 16:41:21.637857,0,54617587712,6941728768,19999.4375,29140.5625,10884.4375,38255.5625,11064.4375,38075.5625,11612.4375,37527.5625,11788.4375,37351.5625,11200.4375,37939.5625,11166.4375,37973.5625,12504.4375,36635.5625
2022-07-27 16:41:23.641914,0,57222893568,4336406528,19999.4375,29140.5625,10884.4375,38255.5625,11064.4375,38075.5625,12880.4375,36259.5625,11788.4375,37351.5625,12376.4375,36763.5625,12468.4375,36671.5625,12504.4375,36635.5625
2022-07-27 16:41:25.645375,0,56522027008,5036752896,19999.4375,29140.5625,12018.4375,37121.5625,11064.4375,38075.5625,12880.4375,36259.5625,11788.4375,37351.5625,12376.4375,36763.5625,12468.4375,36671.5625,12504.4375,36635.5625
2022-07-27 16:41:27.648549,0,56530870272,5028413440,21243.4375,27896.5625,13260.4375,35879.5625,12318.4375,36821.5625,14206.4375,34933.5625,13138.4375,36001.5625,13788.4375,35351.5625,13790.4375,35349.5625,13982.4375,35157.5625
2022-07-27 16:41:29.651728,0,56532103168,5027434496,21243.4375,27896.5625,13260.4375,35879.5625,12318.4375,36821.5625,14206.4375,34933.5625,13138.4375,36001.5625,13788.4375,35351.5625,13790.4375,35349.5625,13982.4375,35157.5625
2022-07-27 16:41:31.654877,0,56530804736,5024600064,21243.4375,27896.5625,13260.4375,35879.5625,12318.4375,36821.5625,14206.4375,34933.5625,13138.4375,36001.5625,13788.4375,35351.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:33.658014,0,56549761024,5003460608,21243.4375,27896.5625,13260.4375,35879.5625,12318.4375,36821.5625,14206.4375,34933.5625,13138.4375,36001.5625,13788.4375,35351.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:35.661097,0,56531705856,5020889088,21243.4375,27896.5625,14516.4375,34623.5625,12318.4375,36821.5625,15540.4375,33599.5625,14598.4375,34541.5625,13788.4375,35351.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:37.663863,0,56536592384,5014065152,21243.4375,27896.5625,15836.4375,33303.5625,13646.4375,35493.5625,15540.4375,33599.5625,14598.4375,34541.5625,13788.4375,35351.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:39.666837,0,56534388736,5016248320,21243.4375,27896.5625,15836.4375,33303.5625,13646.4375,35493.5625,15540.4375,33599.5625,14598.4375,34541.5625,13788.4375,35351.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:41.669675,0,56535089152,5015261184,22493.4375,26646.5625,15836.4375,33303.5625,14984.4375,34155.5625,16898.4375,32241.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:43.672167,0,56550903808,4999409664,22493.4375,26646.5625,15836.4375,33303.5625,14984.4375,34155.5625,16898.4375,32241.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:45.674927,0,56539561984,5010247680,22493.4375,26646.5625,15836.4375,33303.5625,14984.4375,34155.5625,16898.4375,32241.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:47.677888,0,56544124928,5006176256,22493.4375,26646.5625,15836.4375,33303.5625,14984.4375,34155.5625,16898.4375,32241.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:49.680368,0,56539312128,5006794752,22493.4375,26646.5625,15836.4375,33303.5625,14984.4375,34155.5625,16898.4375,32241.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:51.682896,0,56542253056,5004378112,23813.4375,25326.5625,17168.4375,31971.5625,16376.4375,32763.5625,18272.4375,30867.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:53.685622,0,56608837632,4937752576,23813.4375,25326.5625,17168.4375,31971.5625,16376.4375,32763.5625,19662.4375,29477.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:55.688939,0,54171512832,7395581952,23813.4375,25326.5625,17168.4375,31971.5625,16376.4375,32763.5625,19662.4375,29477.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:57.692531,0,54169759744,7397298176,23813.4375,25326.5625,17168.4375,31971.5625,16376.4375,32763.5625,19662.4375,29477.5625,16142.4375,32997.5625,15244.4375,33895.5625,15394.4375,33745.5625,15556.4375,33583.5625
2022-07-27 16:41:59.695265,0,54168391680,7398658048,23813.4375,25326.5625,17168.4375,31971.5625,16376.4375,32763.5625,19662.4375,29477.5625,17686.4375,31453.5625,16712.4375,32427.5625,15394.4375,33745.5625,17226.4375,31913.5625
