datetime,epoch,rank,gpu_memory_allocated,gpu_memory_reserved
2022-07-27 16:41:21.859938,0,6,360192000,9571401728
2022-07-27 16:41:21.860817,0,2,360178176,9464446976
2022-07-27 16:41:21.860991,0,3,360251904,10039066624
2022-07-27 16:41:21.861680,0,4,360303616,10223616000
2022-07-27 16:41:21.862600,0,7,360234496,10974396416
2022-07-27 16:41:21.863792,0,5,360268288,9607053312
2022-07-27 16:41:21.873449,0,0,360161792,9353297920
2022-07-27 16:41:21.889295,0,1,360257536,9275703296
2022-07-27 16:41:22.784810,0,3,360266752,11368660992
2022-07-27 16:41:22.787610,0,2,360163840,9464446976
2022-07-27 16:41:22.789691,0,4,360179200,10223616000
2022-07-27 16:41:22.794062,0,7,360304640,10974396416
2022-07-27 16:41:22.794444,0,1,360196096,9275703296
2022-07-27 16:41:22.807347,0,6,360240128,10936647680
2022-07-27 16:41:22.817239,0,5,360278016,10840178688
2022-07-27 16:41:22.827300,0,0,360220672,9353297920
2022-07-27 16:41:23.685171,0,3,360232448,11368660992
2022-07-27 16:41:23.689051,0,0,360195072,9353297920
2022-07-27 16:41:23.690254,0,4,360258048,10223616000
2022-07-27 16:41:23.690962,0,2,360228352,9464446976
2022-07-27 16:41:23.696362,0,5,360229376,10840178688
2022-07-27 16:41:23.697622,0,7,360226304,10974396416
2022-07-27 16:41:23.704799,0,1,360180736,9275703296
2022-07-27 16:41:23.705208,0,6,360124928,10936647680
2022-07-27 16:41:24.553819,0,3,360225792,11368660992
2022-07-27 16:41:24.555628,0,0,360105472,9353297920
2022-07-27 16:41:24.559555,0,7,360154112,10974396416
2022-07-27 16:41:24.559939,0,5,360223744,10840178688
2022-07-27 16:41:24.561543,0,2,360217088,9464446976
2022-07-27 16:41:24.561697,0,4,360265216,10223616000
2022-07-27 16:41:24.568503,0,6,360100352,10936647680
2022-07-27 16:41:24.580516,0,1,360206336,9275703296
2022-07-27 16:41:25.445581,0,3,360285184,11368660992
2022-07-27 16:41:25.447407,0,2,360248320,9464446976
2022-07-27 16:41:25.449111,0,4,360262144,10223616000
2022-07-27 16:41:25.449665,0,0,360179200,9353297920
2022-07-27 16:41:25.456312,0,5,360274432,10840178688
2022-07-27 16:41:25.459941,0,1,360201216,10464788480
2022-07-27 16:41:25.459957,0,7,360171008,10974396416
2022-07-27 16:41:25.464719,0,6,360248320,10936647680
2022-07-27 16:41:26.271746,0,0,360098304,9353297920
2022-07-27 16:41:26.271857,0,4,360180736,10223616000
2022-07-27 16:41:26.272843,0,3,360178176,11368660992
2022-07-27 16:41:26.281775,0,5,360131072,10840178688
2022-07-27 16:41:26.284849,0,1,360136192,10464788480
2022-07-27 16:41:26.285326,0,7,360201216,10974396416
2022-07-27 16:41:26.287226,0,2,360184832,9464446976
2022-07-27 16:41:26.293773,0,6,360199168,10936647680
2022-07-27 16:41:27.197131,0,0,360229376,9353297920
2022-07-27 16:41:27.198256,0,4,360258560,11639193600
