datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-27 19:53:16.216159,0,48712933376,13176172544,12511.4375,36628.5625,3470.4375,45669.5625,3470.4375,45669.5625,3470.4375,45669.5625,3470.4375,45669.5625,3470.4375,45669.5625,3470.4375,45669.5625,3470.4375,45669.5625
2022-07-27 19:53:18.219910,0,54297636864,7587770368,20019.4375,29120.5625,10882.4375,38257.5625,11080.4375,38059.5625,11632.4375,37507.5625,11806.4375,37333.5625,11206.4375,37933.5625,11184.4375,37955.5625,12542.4375,36597.5625
2022-07-27 19:53:20.232018,0,57508319232,4377354240,20743.4375,28396.5625,11606.4375,37533.5625,11804.4375,37335.5625,13624.4375,35515.5625,12530.4375,36609.5625,13106.4375,36033.5625,13208.4375,35931.5625,13266.4375,35873.5625
2022-07-27 19:53:22.340031,0,57509900288,4373258240,20743.4375,28396.5625,11606.4375,37533.5625,11804.4375,37335.5625,13624.4375,35515.5625,12530.4375,36609.5625,13106.4375,36033.5625,13208.4375,35931.5625,13266.4375,35873.5625
2022-07-27 19:53:24.427083,0,57515184128,4367958016,20743.4375,28396.5625,11606.4375,37533.5625,11804.4375,37335.5625,13626.4375,35513.5625,12530.4375,36609.5625,13106.4375,36033.5625,13210.4375,35929.5625,13266.4375,35873.5625
2022-07-27 19:53:26.583864,0,57527074816,4356415488,20745.4375,28394.5625,11608.4375,37531.5625,11806.4375,37333.5625,13628.4375,35511.5625,12530.4375,36609.5625,13108.4375,36031.5625,13212.4375,35927.5625,13270.4375,35869.5625
2022-07-27 19:53:28.612168,0,57549316096,4333207552,20745.4375,28394.5625,11608.4375,37531.5625,11806.4375,37333.5625,13628.4375,35511.5625,12530.4375,36609.5625,13108.4375,36031.5625,13212.4375,35927.5625,13270.4375,35869.5625
2022-07-27 19:53:30.616323,0,57732485120,4150620160,20745.4375,28394.5625,11608.4375,37531.5625,11806.4375,37333.5625,13628.4375,35511.5625,12532.4375,36607.5625,13108.4375,36031.5625,13212.4375,35927.5625,13270.4375,35869.5625
2022-07-27 19:53:32.619316,0,57733271552,4149825536,20745.4375,28394.5625,12742.4375,36397.5625,11806.4375,37333.5625,13628.4375,35511.5625,12532.4375,36607.5625,13108.4375,36031.5625,13212.4375,35927.5625,13270.4375,35869.5625
2022-07-27 19:53:34.622381,0,57560707072,4315893760,21989.4375,27150.5625,13986.4375,35153.5625,13062.4375,36077.5625,14952.4375,34187.5625,13882.4375,35257.5625,14522.4375,34617.5625,14534.4375,34605.5625,14748.4375,34391.5625
2022-07-27 19:53:36.625716,0,57566552064,4305993728,21989.4375,27150.5625,13986.4375,35153.5625,13062.4375,36077.5625,14952.4375,34187.5625,13882.4375,35257.5625,14522.4375,34617.5625,14534.4375,34605.5625,14748.4375,34391.5625
2022-07-27 19:53:38.629256,0,57563676672,4303491072,21989.4375,27150.5625,13986.4375,35153.5625,13062.4375,36077.5625,14952.4375,34187.5625,13882.4375,35257.5625,14522.4375,34617.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:40.632615,0,57563615232,4301926400,21989.4375,27150.5625,13986.4375,35153.5625,13062.4375,36077.5625,14952.4375,34187.5625,13882.4375,35257.5625,14522.4375,34617.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:42.639633,0,57566150656,4299767808,21989.4375,27150.5625,15242.4375,33897.5625,13062.4375,36077.5625,16286.4375,32853.5625,15344.4375,33795.5625,14522.4375,34617.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:44.643373,0,57569251328,4297871360,21989.4375,27150.5625,15242.4375,33897.5625,13062.4375,36077.5625,16286.4375,32853.5625,15344.4375,33795.5625,14522.4375,34617.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:46.647513,0,57570390016,4297003008,21989.4375,27150.5625,16560.4375,32579.5625,14388.4375,34751.5625,16286.4375,32853.5625,15344.4375,33795.5625,14522.4375,34617.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:48.650978,0,57569456128,4297924608,21989.4375,27150.5625,16560.4375,32579.5625,14388.4375,34751.5625,16286.4375,32853.5625,15344.4375,33795.5625,14522.4375,34617.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:50.654985,0,57566666752,4298579968,23239.4375,25900.5625,16560.4375,32579.5625,15728.4375,33411.5625,17644.4375,31495.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:52.657973,0,57569423360,4295749632,23239.4375,25900.5625,16560.4375,32579.5625,15728.4375,33411.5625,17644.4375,31495.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:54.661137,0,57570529280,4294389760,23239.4375,25900.5625,16560.4375,32579.5625,15728.4375,33411.5625,17646.4375,31493.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:56.665477,0,57568378880,4296536064,23239.4375,25900.5625,16560.4375,32579.5625,15728.4375,33411.5625,17646.4375,31493.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:53:58.669342,0,57567301632,4295630848,23239.4375,25900.5625,16560.4375,32579.5625,15728.4375,33411.5625,17646.4375,31493.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:54:00.675508,0,57568874496,4294914048,23239.4375,25900.5625,16560.4375,32579.5625,15728.4375,33411.5625,17646.4375,31493.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:54:02.679232,0,57744277504,4120682496,24559.4375,24580.5625,17892.4375,31247.5625,17120.4375,32019.5625,19020.4375,30119.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:54:04.682353,0,57566629888,4298055680,24559.4375,24580.5625,17892.4375,31247.5625,17120.4375,32019.5625,20410.4375,28729.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:54:06.685588,0,57566351360,4298334208,24559.4375,24580.5625,17892.4375,31247.5625,17120.4375,32019.5625,20410.4375,28729.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
2022-07-27 19:54:08.688830,0,57564151808,4300525568,24559.4375,24580.5625,17892.4375,31247.5625,17120.4375,32019.5625,20410.4375,28729.5625,16886.4375,32253.5625,15976.4375,33163.5625,16140.4375,32999.5625,16320.4375,32819.5625
