datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-28 16:40:34.541961,0,42867040256,16421322752,15235.4375,33904.5625,6194.4375,42945.5625,6194.4375,42945.5625,6194.4375,42945.5625,6194.4375,42945.5625,6194.4375,42945.5625,6194.4375,42945.5625,6194.4375,42945.5625
2022-07-28 16:40:36.558599,0,48513601536,10770432000,21759.4375,27380.5625,14888.4375,34251.5625,10480.4375,38659.5625,9554.4375,39585.5625,9554.4375,39585.5625,8630.4375,40509.5625,9812.4375,39327.5625,12296.4375,36843.5625
2022-07-28 16:40:38.561799,0,48551981056,10732032000,26819.4375,22320.5625,15116.4375,34023.5625,15196.4375,33943.5625,14448.4375,34691.5625,17074.4375,32065.5625,18028.4375,31111.5625,16008.4375,33131.5625,21268.4375,27871.5625
2022-07-28 16:40:40.564720,0,48563298304,10720694272,26819.4375,22320.5625,21114.4375,28025.5625,19206.4375,29933.5625,18214.4375,30925.5625,17074.4375,32065.5625,18442.4375,30697.5625,21518.4375,27621.5625,21268.4375,27871.5625
2022-07-28 16:40:42.567593,0,48569712640,10711465984,26819.4375,22320.5625,21114.4375,28025.5625,19206.4375,29933.5625,18214.4375,30925.5625,17828.4375,31311.5625,20178.4375,28961.5625,21518.4375,27621.5625,21270.4375,27869.5625
2022-07-28 16:40:44.572114,0,48581492736,10700550144,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21456.4375,27683.5625,26386.4375,22753.5625,20202.4375,28937.5625,21528.4375,27611.5625,29306.4375,19833.5625
2022-07-28 16:40:46.573564,0,48582950912,10698903552,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21748.4375,27391.5625,26386.4375,22753.5625,20202.4375,28937.5625,21528.4375,27611.5625,29306.4375,19833.5625
2022-07-28 16:40:48.576614,0,48584077312,10697674752,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21748.4375,27391.5625,26386.4375,22753.5625,20202.4375,28937.5625,21528.4375,27611.5625,29306.4375,19833.5625
2022-07-28 16:40:50.579581,0,48586526720,10695225344,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21748.4375,27391.5625,26386.4375,22753.5625,20202.4375,28937.5625,21528.4375,27611.5625,29306.4375,19833.5625
2022-07-28 16:40:52.582593,0,48586633216,10695069696,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21748.4375,27391.5625,26392.4375,22747.5625,20202.4375,28937.5625,21528.4375,27611.5625,29306.4375,19833.5625
2022-07-28 16:40:54.585521,0,48588369920,10693238784,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21748.4375,27391.5625,26394.4375,22745.5625,21740.4375,27399.5625,21528.4375,27611.5625,29318.4375,19821.5625
2022-07-28 16:40:56.588541,0,48586801152,10694152192,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21748.4375,27391.5625,26394.4375,22745.5625,21740.4375,27399.5625,21530.4375,27609.5625,29322.4375,19817.5625
2022-07-28 16:40:58.591496,0,48586190848,10694918144,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21748.4375,27391.5625,26760.4375,22379.5625,21740.4375,27399.5625,21594.4375,27545.5625,29322.4375,19817.5625
2022-07-28 16:41:00.594538,0,48587132928,10692341760,30393.4375,18746.5625,24380.4375,24759.5625,21578.4375,27561.5625,21748.4375,27391.5625,26770.4375,22369.5625,21740.4375,27399.5625,21594.4375,27545.5625,29322.4375,19817.5625
