datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-29 04:23:42.370810,0,45408178176,9188950016,12637.4375,36502.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625
2022-07-29 04:23:44.802510,0,47445221376,7150575616,12637.4375,36502.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625
2022-07-29 04:23:46.811757,0,49385308160,5180502016,13653.4375,35486.5625,4610.4375,44529.5625,4602.4375,44537.5625,4602.4375,44537.5625,4612.4375,44527.5625,4622.4375,44517.5625,4616.4375,44523.5625,4602.4375,44537.5625
2022-07-29 04:23:48.815995,0,53489954816,2191724544,17861.4375,31278.5625,9764.4375,39375.5625,7956.4375,41183.5625,7374.4375,41765.5625,7438.4375,41701.5625,7406.4375,41733.5625,7458.4375,41681.5625,8532.4375,40607.5625
2022-07-29 04:23:50.818988,0,58320355328,2212421632,19721.4375,29418.5625,9772.4375,39367.5625,9628.4375,39511.5625,9504.4375,39635.5625,10040.4375,39099.5625,9052.4375,40087.5625,9442.4375,39697.5625,8538.4375,40601.5625
2022-07-29 04:23:52.822015,0,57686470656,3232759808,19721.4375,29418.5625,9772.4375,39367.5625,9628.4375,39511.5625,9504.4375,39635.5625,10040.4375,39099.5625,9846.4375,39293.5625,9862.4375,39277.5625,11626.4375,37513.5625
2022-07-29 04:23:54.825076,0,57455808512,3459215360,19773.4375,29366.5625,13694.4375,35445.5625,10256.4375,38883.5625,10144.4375,38995.5625,10040.4375,39099.5625,9846.4375,39293.5625,12734.4375,36405.5625,11626.4375,37513.5625
2022-07-29 04:23:56.828425,0,57460166656,3448561664,19773.4375,29366.5625,13694.4375,35445.5625,10256.4375,38883.5625,10144.4375,38995.5625,10104.4375,39035.5625,9902.4375,39237.5625,12734.4375,36405.5625,11688.4375,37451.5625
2022-07-29 04:23:58.831942,0,57464913920,3439616000,19773.4375,29366.5625,13694.4375,35445.5625,10256.4375,38883.5625,10144.4375,38995.5625,10104.4375,39035.5625,11940.4375,37199.5625,12734.4375,36405.5625,11688.4375,37451.5625
2022-07-29 04:24:00.834982,0,57473216512,3429208064,19773.4375,29366.5625,13694.4375,35445.5625,10256.4375,38883.5625,10804.4375,38335.5625,10106.4375,39033.5625,11940.4375,37199.5625,12734.4375,36405.5625,12778.4375,36361.5625
2022-07-29 04:24:02.838408,0,57483198464,3419222016,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:04.841830,0,57488850944,3414667264,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:06.852767,0,57493954560,3409264640,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:08.856012,0,57494376448,3409027072,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:10.857759,0,57493905408,3408715776,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:12.863367,0,57493245952,3407908864,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:14.866733,0,57494048768,3406778368,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:16.871369,0,57490030592,3408859136,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:18.874942,0,57493364736,3405807616,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15374.4375,33765.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:20.878222,0,58890342400,2010202112,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:22.881503,0,58995396608,1905455104,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:24.884779,0,57496293376,3404554240,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:26.888740,0,57500389376,3401244672,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:28.892069,0,57509896192,3390922752,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:30.896013,0,58378035200,2522783744,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:32.899860,0,57782235136,3118583808,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:34.903193,0,57519820800,3380994048,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:36.905920,0,57518817280,3381985280,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:38.910060,0,57517658112,3383140352,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:40.913031,0,57521209344,3377491968,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:42.916042,0,57521917952,3376766976,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:44.918946,0,57519681536,3374809088,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:46.921703,0,57524064256,3368288256,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:48.924455,0,57525248000,3367096320,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
