datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-26 11:48:18.708956,0,49949429760,26822324224,19395.4375,29744.5625,10354.4375,38785.5625,10354.4375,38785.5625,10354.4375,38785.5625,10354.4375,38785.5625,10354.4375,38785.5625,10354.4375,38785.5625,10354.4375,38785.5625
2022-07-26 11:48:20.728650,0,55894654976,20873060352,26179.4375,22960.5625,16508.4375,32631.5625,16416.4375,32723.5625,16492.4375,32647.5625,17612.4375,31527.5625,15744.4375,33395.5625,15866.4375,33273.5625,14242.4375,34897.5625
2022-07-26 11:48:22.733900,0,55904366592,20863393792,26179.4375,22960.5625,19374.4375,29765.5625,17302.4375,31837.5625,17290.4375,31849.5625,17614.4375,31525.5625,17336.4375,31803.5625,18910.4375,30229.5625,17574.4375,31565.5625
2022-07-26 11:48:24.737073,0,55906295808,20861210624,26179.4375,22960.5625,19374.4375,29765.5625,17302.4375,31837.5625,17292.4375,31847.5625,18562.4375,30577.5625,17338.4375,31801.5625,18914.4375,30225.5625,17654.4375,31485.5625
2022-07-26 11:48:26.740402,0,55910944768,20856602624,26179.4375,22960.5625,19376.4375,29763.5625,17302.4375,31837.5625,17292.4375,31847.5625,18564.4375,30575.5625,19266.4375,29873.5625,18914.4375,30225.5625,19590.4375,29549.5625
2022-07-26 11:48:28.743759,0,55913205760,20854325248,28131.4375,21008.5625,20468.4375,28671.5625,19328.4375,29811.5625,20184.4375,28955.5625,22542.4375,26597.5625,20236.4375,28903.5625,18916.4375,30223.5625,22302.4375,26837.5625
2022-07-26 11:48:30.746906,0,55914389504,20853301248,28131.4375,21008.5625,20468.4375,28671.5625,19328.4375,29811.5625,20184.4375,28955.5625,22542.4375,26597.5625,20236.4375,28903.5625,18916.4375,30223.5625,22302.4375,26837.5625
2022-07-26 11:48:32.750205,0,55916769280,20851351552,28131.4375,21008.5625,20468.4375,28671.5625,19328.4375,29811.5625,20184.4375,28955.5625,22542.4375,26597.5625,20236.4375,28903.5625,18916.4375,30223.5625,22302.4375,26837.5625
2022-07-26 11:48:34.753261,0,55917690880,20847079424,28131.4375,21008.5625,20468.4375,28671.5625,19328.4375,29811.5625,20184.4375,28955.5625,22542.4375,26597.5625,20236.4375,28903.5625,19892.4375,29247.5625,22302.4375,26837.5625
2022-07-26 11:48:36.756356,0,55916769280,20849807360,28131.4375,21008.5625,20470.4375,28669.5625,19328.4375,29811.5625,20184.4375,28955.5625,22542.4375,26597.5625,20238.4375,28901.5625,19892.4375,29247.5625,22302.4375,26837.5625
2022-07-26 11:48:38.759675,0,55919013888,20842967040,28131.4375,21008.5625,20470.4375,28669.5625,19328.4375,29811.5625,20184.4375,28955.5625,22544.4375,26595.5625,21246.4375,27893.5625,19892.4375,29247.5625,22302.4375,26837.5625
2022-07-26 11:48:40.763054,0,55917076480,20841746432,28131.4375,21008.5625,20470.4375,28669.5625,19328.4375,29811.5625,20184.4375,28955.5625,22544.4375,26595.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:42.765564,0,55917395968,20840755200,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20184.4375,28955.5625,22544.4375,26595.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:44.768857,0,55917936640,20841926656,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20184.4375,28955.5625,22544.4375,26595.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:46.771974,0,55915786240,20842450944,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:48.775071,0,55913377792,20843421696,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:50.778213,0,55914729472,20843442176,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:52.781430,0,55914291200,20843757568,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:54.784873,0,55913607168,20842799104,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:56.788412,0,55912943616,20841594880,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:48:58.791788,0,55913709568,20842536960,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,20934.4375,28205.5625,22304.4375,26835.5625
2022-07-26 11:49:00.793569,0,55912579072,20843671552,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,22038.4375,27101.5625,22304.4375,26835.5625
2022-07-26 11:49:02.796696,0,55914696704,20841545728,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,22546.4375,26593.5625,21246.4375,27893.5625,22038.4375,27101.5625,22304.4375,26835.5625
2022-07-26 11:49:04.800131,0,55911673856,20844548096,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,23900.4375,25239.5625,21246.4375,27893.5625,22038.4375,27101.5625,22304.4375,26835.5625
2022-07-26 11:49:06.803295,0,55911124992,20842835968,28133.4375,21006.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,23900.4375,25239.5625,22334.4375,26805.5625,22038.4375,27101.5625,22304.4375,26835.5625
2022-07-26 11:49:08.807387,0,55911260160,20843261952,29119.4375,20020.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,23900.4375,25239.5625,23698.4375,25441.5625,22038.4375,27101.5625,22304.4375,26835.5625
2022-07-26 11:49:10.811028,0,55912136704,20842729472,29119.4375,20020.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,23900.4375,25239.5625,23698.4375,25441.5625,22040.4375,27099.5625,22304.4375,26835.5625
2022-07-26 11:49:12.822507,0,55912394752,20841013248,29119.4375,20020.5625,20470.4375,28669.5625,19328.4375,29811.5625,20186.4375,28953.5625,23900.4375,25239.5625,23698.4375,25441.5625,22040.4375,27099.5625,22304.4375,26835.5625
