datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-26 18:13:49.386963,0,58526187520,4912848896,13813.4375,35326.5625,4770.4375,44369.5625,4770.4375,44369.5625,4770.4375,44369.5625,4770.4375,44369.5625,4770.4375,44369.5625,4770.4375,44369.5625,4770.4375,44369.5625
2022-07-26 18:13:51.389767,0,64492855296,2993389568,20783.4375,28356.5625,12826.4375,36313.5625,10506.4375,38633.5625,9330.4375,39809.5625,9388.4375,39751.5625,8582.4375,40557.5625,9402.4375,39737.5625,11214.4375,37925.5625
2022-07-26 18:13:53.392903,0,69647147008,3635441664,20783.4375,28356.5625,12826.4375,36313.5625,11460.4375,37679.5625,11984.4375,37155.5625,13184.4375,35955.5625,11270.4375,37869.5625,12070.4375,37069.5625,11216.4375,37923.5625
2022-07-26 18:13:55.395928,0,69649088512,3632992256,20783.4375,28356.5625,12828.4375,36311.5625,11462.4375,37677.5625,11988.4375,37151.5625,13186.4375,35953.5625,12224.4375,36915.5625,12070.4375,37069.5625,13124.4375,36015.5625
2022-07-26 18:13:57.398930,0,69648957440,3632365568,20783.4375,28356.5625,14790.4375,34349.5625,12416.4375,36723.5625,11988.4375,37151.5625,13186.4375,35953.5625,12224.4375,36915.5625,15106.4375,34033.5625,13124.4375,36015.5625
2022-07-26 18:13:59.401973,0,69650542592,3632144384,20783.4375,28356.5625,14790.4375,34349.5625,12416.4375,36723.5625,11988.4375,37151.5625,13186.4375,35953.5625,12224.4375,36915.5625,15110.4375,34029.5625,13126.4375,36013.5625
2022-07-26 18:14:01.405425,0,69656682496,3626299392,20783.4375,28356.5625,14792.4375,34347.5625,12416.4375,36723.5625,11988.4375,37151.5625,13188.4375,35951.5625,14142.4375,34997.5625,15110.4375,34029.5625,13128.4375,36011.5625
2022-07-26 18:14:03.408446,0,69969358848,3310850048,20783.4375,28356.5625,14792.4375,34347.5625,12416.4375,36723.5625,11988.4375,37151.5625,13188.4375,35951.5625,14142.4375,34997.5625,15110.4375,34029.5625,13128.4375,36011.5625
2022-07-26 18:14:05.411591,0,69666111488,3615100928,20783.4375,28356.5625,14792.4375,34347.5625,12416.4375,36723.5625,11988.4375,37151.5625,13190.4375,35949.5625,14142.4375,34997.5625,15112.4375,34027.5625,14096.4375,35043.5625
2022-07-26 18:14:07.414568,0,69678018560,3983396864,23665.4375,25474.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:09.417541,0,69676339200,3981795328,23667.4375,25472.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:11.420453,0,69680447488,3977158656,23667.4375,25472.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:13.423785,0,70467313664,3190435840,23667.4375,25472.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:15.427361,0,69682159616,3975102464,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:17.431006,0,69688217600,3969773568,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:19.434898,0,69688725504,3969720320,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:21.438339,0,69691793408,3966279680,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:23.441552,0,69764382720,3893682176,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,15110.4375,34029.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:25.444613,0,69690155008,3967635456,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,16118.4375,33021.5625,15112.4375,34027.5625,17762.4375,31377.5625
2022-07-26 18:14:27.447473,0,69689245696,3967909888,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14926.4375,34213.5625,16796.4375,32343.5625,16118.4375,33021.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:29.450468,0,69687590912,3970998272,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14928.4375,34211.5625,16796.4375,32343.5625,16118.4375,33021.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:31.453995,0,69688201216,3968905216,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14928.4375,34211.5625,16796.4375,32343.5625,16118.4375,33021.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:33.457175,0,69689679872,3968294912,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14928.4375,34211.5625,16796.4375,32343.5625,16118.4375,33021.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:35.460712,0,69694484480,3963379712,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14928.4375,34211.5625,16796.4375,32343.5625,16118.4375,33021.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:37.463808,0,70117949440,3540086784,23669.4375,25470.5625,15882.4375,33257.5625,14382.4375,34757.5625,14928.4375,34211.5625,16796.4375,32343.5625,16118.4375,33021.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:39.466722,0,69692321792,3966177280,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:41.469639,0,69694144512,3962384384,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:43.472757,0,69698125824,3959607296,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:45.475689,0,69699284992,3949723648,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:47.478813,0,71146078208,2503307264,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:49.482085,0,69711183872,3938820096,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:51.485172,0,69709225984,3939962880,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:53.488281,0,69709656064,3939536896,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:55.491288,0,69713883136,3932971008,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:57.494371,0,71410888704,2236325888,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:14:59.497325,0,69716623360,3928096768,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:15:01.500384,0,69714251776,3930554368,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,16154.4375,32985.5625,17762.4375,31377.5625
2022-07-26 18:15:03.503376,0,67480223744,6187261952,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:05.506379,0,67477008384,6190477312,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:07.509324,0,67474448384,6193414144,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:09.512468,0,67472351232,6195036160,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:11.515863,0,67470188544,6194896896,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,16796.4375,32343.5625,16120.4375,33019.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:13.517497,0,67468681216,6193418240,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,16120.4375,33019.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:15.520569,0,67466813440,6194356224,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,17208.4375,31931.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:17.521517,0,67472019456,6189109248,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,17208.4375,31931.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:19.524553,0,67470557184,6190964736,23669.4375,25470.5625,15882.4375,33257.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:21.527608,0,67467837440,6193213440,24655.4375,24484.5625,15884.4375,33255.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:23.530611,0,67465789440,6195118080,24655.4375,24484.5625,15884.4375,33255.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:25.533630,0,67466051584,6194511872,24655.4375,24484.5625,15884.4375,33255.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:27.536646,0,67464155136,6196715520,24655.4375,24484.5625,15884.4375,33255.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:29.539655,0,67462500352,6198231040,24655.4375,24484.5625,15884.4375,33255.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:31.542887,0,68387393536,5273305088,24655.4375,24484.5625,15884.4375,33255.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:33.546138,0,67457757184,6202793984,24655.4375,24484.5625,15884.4375,33255.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
2022-07-26 18:15:35.549273,0,67460866048,6199382016,24655.4375,24484.5625,15884.4375,33255.5625,14384.4375,34755.5625,14928.4375,34211.5625,18150.4375,30989.5625,18572.4375,30567.5625,17258.4375,31881.5625,17762.4375,31377.5625
