datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-27 01:17:03.461399,0,48830750720,23432273920,14263.4375,34876.5625,5200.4375,43939.5625,5202.4375,43937.5625,5202.4375,43937.5625,5202.4375,43937.5625,5200.4375,43939.5625,5220.4375,43919.5625,5202.4375,43937.5625
2022-07-27 01:17:05.473534,0,54533976064,17725661184,21283.4375,27856.5625,13448.4375,35691.5625,10918.4375,38221.5625,9922.4375,39217.5625,10018.4375,39121.5625,9252.4375,39887.5625,10020.4375,39119.5625,11632.4375,37507.5625
2022-07-27 01:17:07.489537,0,54544375808,17713381376,22745.4375,26394.5625,14114.4375,35025.5625,12304.4375,36835.5625,11324.4375,37815.5625,11618.4375,37521.5625,10574.4375,38565.5625,11438.4375,37701.5625,12288.4375,36851.5625
2022-07-27 01:17:09.580768,0,54544818176,17714806784,22745.4375,26394.5625,14114.4375,35025.5625,12304.4375,36835.5625,11324.4375,37815.5625,11698.4375,37441.5625,10630.4375,38509.5625,11438.4375,37701.5625,12288.4375,36851.5625
2022-07-27 01:17:11.679387,0,54548459520,17711165440,22745.4375,26394.5625,14114.4375,35025.5625,12304.4375,36835.5625,12070.4375,37069.5625,12722.4375,36417.5625,11354.4375,37785.5625,12958.4375,36181.5625,12288.4375,36851.5625
2022-07-27 01:17:13.783572,0,54552735744,17706881024,22813.4375,26326.5625,14114.4375,35025.5625,13764.4375,35375.5625,13562.4375,35577.5625,14690.4375,34449.5625,12802.4375,36337.5625,13718.4375,35421.5625,12288.4375,36851.5625
2022-07-27 01:17:15.867521,0,54558437376,17701179392,23679.4375,25460.5625,14950.4375,34189.5625,14494.4375,34645.5625,14308.4375,34831.5625,15714.4375,33425.5625,13526.4375,35613.5625,14478.4375,34661.5625,12288.4375,36851.5625
2022-07-27 01:17:17.874566,0,54561021952,17698594816,23679.4375,25460.5625,14950.4375,34189.5625,14494.4375,34645.5625,14308.4375,34831.5625,15714.4375,33425.5625,13526.4375,35613.5625,14478.4375,34661.5625,12288.4375,36851.5625
2022-07-27 01:17:19.913387,0,54560378880,17699229696,23679.4375,25460.5625,14950.4375,34189.5625,14494.4375,34645.5625,14308.4375,34831.5625,15714.4375,33425.5625,13526.4375,35613.5625,14478.4375,34661.5625,12288.4375,36851.5625
2022-07-27 01:17:21.916555,0,54561894400,17697779712,23679.4375,25460.5625,15022.4375,34117.5625,14494.4375,34645.5625,14310.4375,34829.5625,15714.4375,33425.5625,15118.4375,34021.5625,15266.4375,33873.5625,15698.4375,33441.5625
