datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-27 05:01:09.120361,0,56167702528,13048107008,14205.4375,34934.5625,5164.4375,43975.5625,5164.4375,43975.5625,5164.4375,43975.5625,5164.4375,43975.5625,5164.4375,43975.5625,5164.4375,43975.5625,5164.4375,43975.5625
2022-07-27 05:01:11.124003,0,62097088512,7115431936,20477.4375,28662.5625,12500.4375,36639.5625,10198.4375,38941.5625,8592.4375,40547.5625,9084.4375,40055.5625,8278.4375,40861.5625,9098.4375,40041.5625,10910.4375,38229.5625
2022-07-27 05:01:13.131984,0,68579323904,4365529088,21727.4375,27412.5625,13750.4375,35389.5625,11448.4375,37691.5625,10264.4375,38875.5625,10336.4375,38803.5625,9522.4375,39617.5625,10348.4375,38791.5625,12162.4375,36977.5625
2022-07-27 05:01:15.200856,0,68577927168,4367089664,22525.4375,26614.5625,13750.4375,35389.5625,12178.4375,36961.5625,11010.4375,38129.5625,11280.4375,37859.5625,10190.4375,38949.5625,11108.4375,38031.5625,12164.4375,36975.5625
2022-07-27 05:01:17.307173,0,68573638656,4372283392,22525.4375,26614.5625,13750.4375,35389.5625,12178.4375,36961.5625,11010.4375,38129.5625,12224.4375,36915.5625,10860.4375,38279.5625,11108.4375,38031.5625,12166.4375,36973.5625
2022-07-27 05:01:19.390514,0,68572213248,4373700608,22527.4375,26612.5625,13752.4375,35387.5625,12180.4375,36959.5625,11758.4375,37381.5625,13170.4375,35969.5625,11530.4375,37609.5625,11870.4375,37269.5625,12168.4375,36971.5625
2022-07-27 05:01:21.494612,0,68573757440,4372156416,23327.4375,25812.5625,14590.4375,34549.5625,13642.4375,35497.5625,13252.4375,35887.5625,15060.4375,34079.5625,12868.4375,36271.5625,13392.4375,35747.5625,12170.4375,36969.5625
2022-07-27 05:01:23.568779,0,68575350784,4370563072,23329.4375,25810.5625,14592.4375,34547.5625,13644.4375,35495.5625,13256.4375,35883.5625,15062.4375,34077.5625,12870.4375,36269.5625,13394.4375,35745.5625,12172.4375,36967.5625
2022-07-27 05:01:25.608785,0,68573806592,4372107264,23329.4375,25810.5625,14592.4375,34547.5625,13644.4375,35495.5625,13256.4375,35883.5625,15062.4375,34077.5625,12870.4375,36269.5625,13394.4375,35745.5625,12172.4375,36967.5625
2022-07-27 05:01:27.623336,0,68589842432,4356071424,23329.4375,25810.5625,14598.4375,34541.5625,13652.4375,35487.5625,13256.4375,35883.5625,15062.4375,34077.5625,13612.4375,35527.5625,14182.4375,34957.5625,13776.4375,35363.5625
2022-07-27 05:01:29.627390,0,69248114688,3697799168,23329.4375,25810.5625,14598.4375,34541.5625,13652.4375,35487.5625,13262.4375,35877.5625,15066.4375,34073.5625,14464.4375,34675.5625,14184.4375,34955.5625,14702.4375,34437.5625
2022-07-27 05:01:31.771648,0,68611362816,4334534656,23329.4375,25810.5625,16614.4375,32525.5625,14534.4375,34605.5625,14058.4375,35081.5625,15066.4375,34073.5625,14464.4375,34675.5625,16264.4375,32875.5625,14704.4375,34435.5625
2022-07-27 05:01:33.776754,0,68613566464,4332322816,23331.4375,25808.5625,16614.4375,32525.5625,14534.4375,34605.5625,14058.4375,35081.5625,15066.4375,34073.5625,14468.4375,34671.5625,16270.4375,32869.5625,14704.4375,34435.5625
2022-07-27 05:01:35.779919,0,68619456512,4326432768,23331.4375,25808.5625,16614.4375,32525.5625,14534.4375,34605.5625,14058.4375,35081.5625,16014.4375,33125.5625,14468.4375,34671.5625,16270.4375,32869.5625,14704.4375,34435.5625
2022-07-27 05:01:37.783491,0,68616728576,4322881536,23331.4375,25808.5625,16616.4375,32523.5625,14534.4375,34605.5625,14058.4375,35081.5625,16016.4375,33123.5625,16396.4375,32743.5625,16270.4375,32869.5625,14706.4375,34433.5625
